id,key,value,type
6168776,name_base,Blue Spruce,tiger
6168776,name_type,Ave,tiger
6169300,name,Bennett Road,regular
6169300,highway,residential,regular
6169300,cfcc,A41,tiger
6169300,tlid,188557043:188622489:188608371,tiger
6169300,county,"Larimer, CO",tiger
6169300,source,tiger_import_dch_v0.6_20070809,tiger
6169300,reviewed,no,tiger
6169300,name_base,Bennett,tiger
6169300,name_type,Rd,tiger
6169300,separated,no,tiger
6169843,name,North 10th Street,regular
6169843,name_1,10th Street,regular
6169843,highway,residential,regular
6169843,cfcc,A41,tiger
6169843,county,"Larimer, CO",tiger
6169843,reviewed,no,tiger
6169843,zip_left,80513,tiger
6169843,name_base,10th,tiger
6169843,name_type,St,tiger
6169843,zip_right,80513,tiger
6169843,name_base_1,10th,tiger
6169843,name_type_1,St,tiger
6169843,name_direction_prefix,N,tiger
6170328,name,Bein Street,regular
6170328,highway,residential,regular
6170328,cfcc,A41,tiger
6170328,county,"Larimer, CO",tiger
6170328,reviewed,no,tiger
6170328,zip_left,80513,tiger
6170328,name_base,Bein,tiger
6170328,name_type,St,tiger
6170328,zip_right,80513,tiger
6170513,name,South Chaparro Circle,regular
6170513,highway,residential,regular
6170513,cfcc,A41,tiger
6170513,tlid,188574173:188574174:188502067,tiger
6170513,county,"Larimer, CO",tiger
6170513,source,tiger_import_dch_v0.6_20070809,tiger
6170513,reviewed,no,tiger
6170513,zip_left,80513,tiger
6170513,name_base,Chaparro,tiger
6170513,name_type,Cir,tiger
6170513,separated,no,tiger
6170513,zip_right,80513,tiger
6170513,name_direction_prefix,S,tiger
6170934,name,Singing Waters Court,regular
6170934,highway,residential,regular
6170934,cfcc,A41,tiger
6170934,tlid,188555697:188518253,tiger
6170934,county,"Larimer, CO",tiger
6170934,source,tiger_import_dch_v0.6_20070809,tiger
6170934,reviewed,no,tiger
6170934,zip_left,80513,tiger
6170934,name_base,Singing Waters,tiger
6170934,name_type,Ct,tiger
6170934,separated,no,tiger
6170934,zip_right,80513,tiger
6171436,name,Willow Drive,regular
6171436,highway,residential,regular
6171436,cfcc,A41,tiger
6171436,tlid,188527985:188527987:188499687,tiger
6171436,county,"Larimer, CO",tiger
6171436,source,tiger_import_dch_v0.6_20070809,tiger
6171436,reviewed,no,tiger
6171436,zip_left,80540,tiger
6171436,name_base,Willow,tiger
6171436,name_type,Dr,tiger
6171436,separated,no,tiger
6171436,zip_right,80540,tiger
6171773,name,Lake Drive,regular
6171773,highway,residential,regular
6171773,cfcc,A41,tiger
6171773,county,"Larimer, CO",tiger
6171773,reviewed,no,tiger
6171773,zip_left,80540,tiger
6171773,name_base,Lake,tiger
6171773,name_type,Dr,tiger
6171773,zip_right,80540,tiger
6172240,name,Kiowa Road,regular
6172240,highway,residential,regular
6172240,cfcc,A41,tiger
6172240,county,"Larimer, CO",tiger
6172240,reviewed,no,tiger
6172240,zip_left,80540,tiger
6172240,name_base,Kiowa,tiger
6172240,name_type,Rd,tiger
6172240,zip_right,80540,tiger
6172762,name,North County Line Road,regular
6172762,name_1,West County Line Road,regular
6172762,name_2,County Road 2,regular
6172762,highway,residential,regular
6172762,cfcc,A41,tiger
6172762,tlid,188625889:188625753:188175155:188227043,tiger
6172762,county,"Larimer, CO",tiger
6172762,source,tiger_import_dch_v0.6_20070809,tiger
6172762,reviewed,no,tiger
6172762,zip_left,80513,tiger
6172762,name_base,County Line,tiger
6172762,name_type,Rd,tiger
6172762,separated,no,tiger
6172762,name_base_1,County Line,tiger
6172762,name_base_2,County Road 2,tiger
6172762,name_type_1,Rd,tiger
6172762,name_direction_prefix,N,tiger
6172762,name_direction_prefix_1,W,tiger
6173309,name,Hummingbird Place,regular
6173309,highway,residential,regular
6173309,cfcc,A41,tiger
6173309,county,"Larimer, CO",tiger
6173309,reviewed,no,tiger
6173309,zip_left,80513,tiger
6173309,name_base,Hummingbird,tiger
6173309,name_type,Pl,tiger
6173309,zip_right,80513,tiger
6173721,name,West County Road 6,regular
6173721,highway,tertiary,regular
6173721,cfcc,A41,tiger
6173721,tlid,188625310:188501543:188501497:188521061:188527948:188577015:188527953:188501340:188501342:188527957:188527958:188586804:188573979:188556244:188625232:188607635:188620614,tiger
6173721,county,"Larimer, CO",tiger
6173721,source,tiger_import_dch_v0.6_20070809,tiger
6173721,reviewed,no,tiger
6173721,zip_left,80513,tiger
6173721,name_base,County Road 6,tiger
6173721,separated,no,tiger
6173721,zip_right,80513,tiger
6173721,name_direction_prefix,W,tiger
6174154,name,Gillette Drive,regular
6174154,highway,residential,regular
6174154,cfcc,A41,tiger
6174154,tlid,188498790,tiger
6174154,county,"Larimer, CO",tiger
6174154,source,tiger_import_dch_v0.6_20070809,tiger
6174154,reviewed,no,tiger
6174154,name_base,Gillette,tiger
6174154,name_type,Dr,tiger
6174154,separated,no,tiger
6174551,name,Goblins Castle Road,regular
6174551,highway,residential,regular
6174551,cfcc,A41,tiger
6174551,tlid,188595774:188595775:188581977,tiger
6174551,county,"Larimer, CO",tiger
6174551,source,tiger_import_dch_v0.6_20070809,tiger
6174551,reviewed,no,tiger
6174551,name_base,Goblins Castle,tiger
6174551,name_type,Rd,tiger
6174551,separated,no,tiger
6175158,name,Pioneer Road,regular
6175158,highway,residential,regular
6175158,cfcc,A41,tiger
6175158,tlid,188620508:188500248,tiger
6175158,county,"Larimer, CO",tiger
6175158,source,tiger_import_dch_v0.6_20070809,tiger
6175158,reviewed,no,tiger
6175158,zip_left,80540,tiger
6175158,name_base,Pioneer,tiger
6175158,name_type,Rd,tiger
6175158,separated,no,tiger
6175158,zip_right,80540,tiger
6175685,name,Longs Peak Road,regular
6175685,highway,residential,regular
6175685,cfcc,A41,tiger
6175685,tlid,188498764,tiger
6175685,county,"Larimer, CO",tiger
6175685,source,tiger_import_dch_v0.6_20070809,tiger
6175685,reviewed,no,tiger
6175685,zip_left,80517,tiger
6175685,name_base,Longs Peak,tiger
6175685,name_type,Rd,tiger
6175685,separated,no,tiger
6175685,zip_right,80517,tiger
6175826,name,Stagecoach Trail,regular
6175826,highway,residential,regular
6175826,cfcc,A41,tiger
6175826,tlid,188530613,tiger
6175826,county,"Larimer, CO",tiger
6175826,source,tiger_import_dch_v0.6_20070809,tiger
6175826,reviewed,no,tiger
6175826,name_base,Stagecoach,tiger
6175826,name_type,Trl,tiger
6175826,separated,no,tiger
7672213,name,County Road 38,regular
7672213,highway,residential,regular
7672213,cfcc,A41,tiger
7672213,tlid,188663370,tiger
7672213,county,"Weld, CO",tiger
7672213,source,tiger_import_dch_v0.6_20070809,tiger
7672213,reviewed,no,tiger
7672213,zip_left,80645,tiger
7672213,name_base,County Road 38,tiger
7672213,separated,no,tiger
7672213,zip_right,80645,tiger
7672213,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7672390,NHS,yes,regular
7672390,hgv,designated,regular
7672390,ref,US 85,regular
7672390,name,United States Highway 85,regular
7672390,lanes,2,regular
7672390,name_1,Platte Highway,regular
7672390,name_2,County Road 25.5,regular
7672390,oneway,yes,regular
7672390,source,tiger,regular
7672390,highway,trunk,regular
7672390,nat_ref,US 85,regular
7672390,surface,asphalt,regular
7672390,tracktype,grade1,regular
7672390,CDOT_route,085C,regular
7672390,national_network,yes,hgv
